evaluation,method,phase,n_estimators,max_depth,min_samples_split,max_features,cv_mean,cv_std,eval_seconds,fold_scores,fold_fingerprint,best_so_far
8,Bayesian Optimization,EI,298,15,4,0.9834624208266174,0.9604395604395606,0.021533975760731225,8.757972899999004,"[0.967032967032967, 0.967032967032967, 0.9230769230769231, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
9,Bayesian Optimization,EI,264,16,4,0.9082303417271983,0.9582417582417584,0.021308482889742096,5.372910699996282,"[0.9560439560439561, 0.967032967032967, 0.9230769230769231, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
10,Bayesian Optimization,EI,199,20,16,0.7745747942456513,0.9472527472527472,0.022413272587221034,3.5583872999995947,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.9340659340659341, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
11,Bayesian Optimization,EI,285,10,4,0.30000084320825837,0.9604395604395604,0.014906219743132445,4.852000400001998,"[0.967032967032967, 0.967032967032967, 0.9340659340659341, 0.9560439560439561, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
12,Bayesian Optimization,EI,299,16,16,0.8233746976983074,0.9494505494505494,0.021533975760731242,7.44314669999585,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
13,Bayesian Optimization,EI,100,8,2,0.5649967696575903,0.9582417582417582,0.014578570507056687,1.8642224000068381,"[0.967032967032967, 0.9560439560439561, 0.9340659340659341, 0.9560439560439561, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
14,Bayesian Optimization,EI,51,15,20,0.3115426023946825,0.9472527472527472,0.01890620937811568,0.6845139000070048,"[0.9560439560439561, 0.9560439560439561, 0.9120879120879121, 0.945054945054945, 0.967032967032967]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
15,Bayesian Optimization,EI,286,18,19,0.44830183245910316,0.9494505494505494,0.021533975760731242,5.4794915999955265,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
16,Bayesian Optimization,EI,51,10,14,0.9553112162023764,0.9472527472527472,0.022413272587221034,0.7659507999924244,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.9340659340659341, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
17,Bayesian Optimization,EI,58,4,2,0.8592944305528345,0.9604395604395606,0.01490621974313247,0.816930200002389,"[0.9560439560439561, 0.9560439560439561, 0.945054945054945, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
18,Bayesian Optimization,EI,244,5,7,0.5489252211827234,0.9604395604395606,0.01785502946073838,3.420814800003427,"[0.967032967032967, 0.9560439560439561, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
19,Bayesian Optimization,EI,243,7,17,0.3938080734897313,0.9538461538461538,0.01890620937811568,3.8033338999957778,"[0.945054945054945, 0.9560439560439561, 0.9340659340659341, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
20,Bayesian Optimization,EI,296,5,2,0.30000200721719256,0.9582417582417582,0.014578570507056687,3.7051117999944836,"[0.9560439560439561, 0.967032967032967, 0.9340659340659341, 0.9560439560439561, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9604395604395606
